time;minAirPressure;averageAirPressure;maxAirPressure;rainIntensity
"2021-01-13 21:00:00+01:00";978.7;978.96333333333;979.2;0
"2021-01-13 22:00:00+01:00";978.1;978.38333333333;978.8;0
"2021-01-13 23:00:00+01:00";977.5;977.76833333333;978.1;0
"2021-01-14 00:00:00+01:00";976.8;977.115;977.5;0
"2021-01-14 01:00:00+01:00";976.3;976.50666666667;976.8;0
"2021-01-14 02:00:00+01:00";975.8;976.00666666667;976.3;0
"2021-01-14 03:00:00+01:00";975.6;975.77666666667;975.9;0
"2021-01-14 04:00:00+01:00";975.4;975.565;975.7;0
"2021-01-14 05:00:00+01:00";975.5;975.5;975.5;0
"2021-01-14 06:00:00+01:00";975.5;975.61666666667;975.8;0
"2021-01-14 07:00:00+01:00";975.8;976.13666666667;976.4;0
"2021-01-14 08:00:00+01:00";976.4;976.94166666667;977.3;0
"2021-01-14 09:00:00+01:00";977.4;977.80333333333;978.3;0
"2021-01-14 10:00:00+01:00";978.3;978.70833333333;979;0
"2021-01-14 11:00:00+01:00";978.9;979.295;979.7;0
"2021-01-14 12:00:00+01:00";979.7;979.865;980.2;0
"2021-01-14 13:00:00+01:00";980.2;980.68166666667;981.2;0
"2021-01-14 14:00:00+01:00";981.2;981.76166666667;982.3;0
"2021-01-14 15:00:00+01:00";982.3;982.77333333333;983.2;0
"2021-01-14 16:00:00+01:00";983.2;983.51166666667;984;0
"2021-01-14 17:00:00+01:00";983.9;984.25833333333;984.6;0
"2021-01-14 18:00:00+01:00";984.5;984.755;985;0.0083333333333333
"2021-01-14 19:00:00+01:00";984.9;985.05166666667;985.2;0.073333333333333
"2021-01-14 20:00:00+01:00";985.2;985.29666666667;985.5;0
"2021-01-14 21:00:00+01:00";985.5;985.72166666667;985.9;0
"2021-01-14 22:00:00+01:00";985.9;985.99333333333;986.1;0
"2021-01-14 23:00:00+01:00";986;986.22333333333;986.4;0
"2021-01-15 00:00:00+01:00";986.2;986.45833333333;986.8;0
"2021-01-15 01:00:00+01:00";986.8;987.05166666667;987.3;0
"2021-01-15 02:00:00+01:00";987.3;987.62;987.8;0
"2021-01-15 03:00:00+01:00";987.7;987.78166666667;987.9;0
"2021-01-15 04:00:00+01:00";987.9;988.03166666667;988.1;0
"2021-01-15 05:00:00+01:00";987.7;987.85833333333;988;0
"2021-01-15 06:00:00+01:00";987.9;988.02333333333;988.3;0.065
"2021-01-15 07:00:00+01:00";988.3;988.76551724138;989.2;0
"2021-01-15 08:00:00+01:00";989.2;989.64;990;0
"2021-01-15 09:00:00+01:00";990.1;990.45333333333;990.9;0
"2021-01-15 10:00:00+01:00";990.9;991.23166666667;991.4;0
"2021-01-15 11:00:00+01:00";990.8;991.11833333333;991.3;0
"2021-01-15 12:00:00+01:00";990.4;990.58305084746;990.8;0
"2021-01-15 13:00:00+01:00";990.3;990.36779661017;990.5;0
"2021-01-15 14:00:00+01:00";990.1;990.29666666667;990.4;0
"2021-01-15 15:00:00+01:00";990.4;990.48;990.5;0
"2021-01-15 16:00:00+01:00";990.2;990.385;990.5;0
"2021-01-15 17:00:00+01:00";990.3;990.415;990.5;0
"2021-01-15 18:00:00+01:00";990.4;990.55666666667;990.6;0
"2021-01-15 19:00:00+01:00";990.5;990.63833333333;990.8;0
"2021-01-15 20:00:00+01:00";990.7;990.81;990.9;0
"2021-01-15 21:00:00+01:00";990.8;990.995;991.2;0
"2021-01-15 22:00:00+01:00";991.1;991.18166666667;991.3;0
"2021-01-15 23:00:00+01:00";991.2;991.34333333333;991.6;0
"2021-01-16 00:00:00+01:00";991.6;991.76666666667;991.8;0
"2021-01-16 01:00:00+01:00";991.8;991.91333333333;992.1;0
"2021-01-16 02:00:00+01:00";992.1;992.11833333333;992.2;0
"2021-01-16 03:00:00+01:00";992;992.095;992.2;0
